SM_TikTokURL,T_Partei
https://www.tiktok.com/@bmg_bund,SPD
https://www.tiktok.com/@bundeswehrexclusive,CDU/CSU
https://www.tiktok.com/@jugendministerium,Grüne
https://www.tiktok.com/@aussenpolitik,Grüne
https://www.tiktok.com/@soziales.saarland,SPD
https://www.tiktok.com/@wirbauenbayern,CDU/CSU
https://www.tiktok.com/@finanzenbw,Grüne
https://www.tiktok.com/@staatskanzleimv,SPD
https://www.tiktok.com/@regierungspraesidium,CDU/CSU
https://www.tiktok.com/@ministerpraesident.rlp,SPD
https://www.tiktok.com/@regsprecher.saarl,SPD
https://www.tiktok.com/@mbksaar,SPD
https://www.tiktok.com/@ministerin.kathri,SPD
https://www.tiktok.com/@connectcdu,CDU/CSU
https://www.tiktok.com/@afd.offiziell,AfD
https://www.tiktok.com/@spd_pwp,SPD
https://www.tiktok.com/@spdlingen,SPD
https://www.tiktok.com/@spd_bawue,SPD
https://www.tiktok.com/@spdsh,SPD
https://www.tiktok.com/@cdununkirchen,CDU/CSU
https://www.tiktok.com/@cdu_rade ,CDU/CSU
https://www.tiktok.com/@linkeessen ,Linke
https://www.tiktok.com/@die_linke_hl,Linke
https://www.tiktok.com/@gruene_lsa,Grüne
https://www.tiktok.com/@diegruenensh,Grüne
https://www.tiktok.com/@gruene_dortmund,Grüne
https://www.tiktok.com/@gruenemuenster,Grüne
https://www.tiktok.com/@fdp_ahrweiler,FDP
https://www.tiktok.com/@fdprlp,FDP
https://www.tiktok.com/@fwmuc,Sonstige
https://www.tiktok.com/@freie_waehler_hamburg,Sonstige
https://www.tiktok.com/@freiewaehleraltmark,Sonstige
https://www.tiktok.com/@freiewaehler_magdeburg,Sonstige
https://www.tiktok.com/@afdhessen,AfD
https://www.tiktok.com/@afd.bayern,AfD
https://www.tiktok.com/@afdelmshorn,AfD
https://www.tiktok.com/@afdkreispinneberg,AfD
https://www.tiktok.com/@afd.reinickendorf,AfD
https://www.tiktok.com/@dieparteiberlin,Sonstige
https://www.tiktok.com/@die_partei_niedersachsen,Sonstige
https://www.tiktok.com/@diepartei_lueneburg,Sonstige
https://www.tiktok.com/@dieparteimoers,Sonstige
https://www.tiktok.com/@oedp_badenwuerttemberg,Sonstige
https://www.tiktok.com/@diebasis_mv,Sonstige
https://www.tiktok.com/@afd_fraktion_bundestag,AfD
https://www.tiktok.com/@linksfraktion,Linke
https://www.tiktok.com/@csu_bt,CDU/CSU
https://www.tiktok.com/@cducsueuropa,CDU/CSU
https://www.tiktok.com/@afd_thl                                                                                                                                                             ,AfD
https://www.tiktok.com/@afdfraktion.rlp,AfD
https://www.tiktok.com/@afd.eu,AfD
https://www.tiktok.com/@niedersachsenfraktion,SPD
https://www.tiktok.com/@spdvg,SPD
https://www.tiktok.com/@gruenefraktionbb,Grüne
https://www.tiktok.com/@saxgruen,Grüne
https://www.tiktok.com/@linksfraktion.kiel,Linke
https://www.tiktok.com/@linksfraktionbran,Linke
https://www.tiktok.com/@saarlinke_fraktion,Linke
https://www.tiktok.com/@dielinkeimlandtag,Linke
https://www.tiktok.com/@fdpltnrw/,FDP
https://www.tiktok.com/@fraktionsleben,FDP
https://www.tiktok.com/@bvb_fw_fraktion,Sonstige
https://www.tiktok.com/@europajens,SPD
https://www.tiktok.com/@lenaduepont,CDU/CSU
https://www.tiktok.com/@hildebentele,CDU/CSU
https://www.tiktok.com/@markusferber1,CDU/CSU
https://www.tiktok.com/@metinhakverdi1,SPD
https://www.tiktok.com/@dirkheidenblut,SPD
https://www.tiktok.com/@kuehnikev/,SPD
https://www.tiktok.com/@frankschwabe,SPD
https://www.tiktok.com/@karl_lauterbach_privat,SPD
https://www.tiktok.com/@bestphal5,SPD
https://www.tiktok.com/@dr.thorsten.rudolph,SPD
https://www.tiktok.com/@bengt.bergt,SPD
https://www.tiktok.com/@teamolafscholz,SPD
https://www.tiktok.com/@tanjamachts,SPD
https://www.tiktok.com/@kthrn_mchl_spd,SPD
https://www.tiktok.com/@svenja_schulze,SPD
https://www.tiktok.com/@bettina.lugk,SPD
https://www.tiktok.com/@oliver.kaczmarek25,SPD
https://www.tiktok.com/@adis.93,SPD
https://www.tiktok.com/@luciaschanbacher,SPD
https://www.tiktok.com/@sanaeabdi_koeln,SPD
https://www.tiktok.com/@dieabgeordnete ,FDP
https://www.tiktok.com/@vogeljohannes ,FDP
https://www.tiktok.com/@tim.wagner.mdb,FDP
https://www.tiktok.com/@katjadler,FDP
https://www.tiktok.com/@drpeterramsauer1,CDU/CSU
https://www.tiktok.com/@juliakloeckner,CDU/CSU
https://www.tiktok.com/@petra.nicolaisen,CDU/CSU
https://www.tiktok.com/@team.anja,CDU/CSU
https://www.tiktok.com/@thomasbareiss,CDU/CSU
https://www.tiktok.com/@tilmankuban,CDU/CSU
https://www.tiktok.com/@mechthild_heil,CDU/CSU
https://www.tiktok.com/@alex.throm,CDU/CSU
https://www.tiktok.com/@carsten.mueller.c,CDU/CSU
https://www.tiktok.com/@bundestagsperli,Linke
https://www.tiktok.com/@susanne_ferschl,Linke
https://www.tiktok.com/@amtsberg.luise_mdb,Grüne
https://www.tiktok.com/@bruno.hoenel,Grüne
